label,structural_1_hop_neighbor_count,structural_2_hop_neighbor_count,structural_3_hop_neighbor_count,structural_4_hop_neighbor_count,structural_5_hop_neighbor_count,structural_6_hop_neighbor_count,structural_7_hop_neighbor_count,structural_8_hop_neighbor_count,structural_avg_depth,structural_dst_user_count,structural_max_depth,structural_reply_count,structural_reply_users_count,structural_retweet_count,structural_retweet_reply_percent,structural_retweet_users_count,structural_root_to_all_depth_max,structural_root_to_all_depth_sum,structural_src_dst_user_percent,structural_src_user_count,structural_trace_count,tweet_id,temporal___avg_diff_time_from_root,temporal___avg_diff_time_from_src,temporal___avg_reply_time_from_root,temporal___avg_reply_time_from_src,temporal___avg_retweet_time_from_root,temporal___avg_retweet_time_from_src,social_____avg_delta_follower,social_____avg_delta_friend,social_____avg_favourites,social_____avg_follower,social_____avg_friend,social_____avg_listed,social_____avg_statuses,social_____delta_followers_count_down,social_____delta_followers_count_else,social_____delta_followers_count_up,social_____delta_followers_count_up_percent,social_____max_delta_follower,social_____max_delta_friend,social_____max_favourites,social_____max_follower,social_____max_friend,social_____max_listed,social_____max_statuses,social_____verified_percent,struct_temp_1_hop_neighbor_max_time,struct_temp_1_hop_neighbor_mean_time,struct_temp_1_hop_neighbor_median_time,struct_temp_2_hop_neighbor_max_time,struct_temp_2_hop_neighbor_mean_time,struct_temp_2_hop_neighbor_median_time
false,57.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1455938697318009,521.0,3.0,1.0,1.0,520.0,0.9980806142034548,520.0,3.0,598.0,0.09075043630017453,52.0,530.0,656955120626880512,151.24345489443374,1663.2857197696735,0.0,772.5,151.5343076923077,1664.9987692307693,-4619.630434782609,-497.0217391304348,38681.70824053451,1347.1269487750558,707.9175946547883,18.518930957683747,46938.60579064588,30.0,0.0,16.0,0.3478260869565217,3610.0,456.0,412186.0,91720.0,18673.0,566.0,422434.0,0.0,50507.03,1776.950969162997,119.17,50507.03,1776.950969162997,13.8
true,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0252100840336134,356.0,2.0,55.0,49.0,307.0,0.8480662983425414,307.0,2.0,366.0,0.03523035230352303,13.0,364.0,615689290706595840,5.93668508287293,890.904226519337,34.54236363636364,1700.3374545454544,0.8118892508143323,745.8917589576547,-1821219.9223602484,1724.866459627329,15645.1125,7840.284375,1891.40625,55.403125,37268.090625,319.0,0.0,3.0,0.009316770186335404,656.0,43987.0,407117.0,1899745.0,44079.0,3005.0,1913436.0,0.00625,34575.95,879.195606936416,108.925,34575.95,879.195606936416,995.98
false,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0169491525423728,117.0,2.0,32.0,31.0,86.0,0.7288135593220338,86.0,2.0,120.0,0.04098360655737705,5.0,120.0,613404935003217920,0.11016949152542373,240.2504237288136,0.3834375,375.126875,0.008488372093023255,190.06383720930228,-11030153.03539823,-4266.132743362832,25993.33628318584,102462.07079646018,1314.1769911504425,792.3805309734512,52355.53982300885,111.0,0.0,2.0,0.017699115044247787,474.0,10619.0,248576.0,11436206.0,16326.0,84911.0,531720.0,0.008849557522123894,8851.47,247.85000000000005,13.485,8851.47,247.85000000000005,23.15
unverified,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1870503597122302,138.0,3.0,6.0,5.0,134.0,0.9571428571428572,133.0,3.0,165.0,0.08609271523178808,13.0,146.0,731166399389962242,43.60257142857144,15359.353285714287,30.60833333333333,87.43166666666666,44.184402985074634,16043.170671641798,-34006.93333333333,-14379.333333333336,46362.491071428565,6600.723214285716,5254.125,83.11607142857143,78555.98214285714,14.0,0.0,1.0,0.06666666666666668,248.0,323.0,376391.0,92337.0,60558.0,493.0,389797.0,0.0,171903.5,18762.265398230087,338.8,171903.5,18762.265398230087,387.3
unverified,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105263157894737,94.0,3.0,7.0,6.0,88.0,0.9263157894736842,88.0,3.0,115.0,0.12149532710280375,13.0,94.0,714598641827246081,73.61715789473685,2464.349684210526,30.55,29136.265714285717,77.04295454545455,342.72,-184403.36904761905,-2.095238095238096,43754.38888888888,3965.7111111111108,1104.1777777777775,83.95555555555555,54299.3,80.0,0.0,4.0,0.047619047619047616,2917.0,6960.0,605741.0,215140.0,7884.0,2191.0,1257955.0,0.03333333333333333,101483.42,1706.696533333333,56.13,101483.42,1706.696533333333,78.23500000000004
true,158.0,66.0,11.0,11.0,2.0,0.0,0.0,0.0,1.6174055829228242,624.0,6.0,6.0,6.0,621.0,0.9904306220095692,618.0,6.0,985.0,0.21311475409836064,169.0,659.0,614467824313106432,55.72566188197767,490.9530143540669,0.0,241.93166666666667,56.26407407407408,493.35901771336563,-23519.114877589454,447.4180790960452,35508.510676156584,2813.8843416370105,1083.1387900355874,40.288256227758005,65283.229537366555,483.0,0.0,48.0,0.0903954802259887,18176.0,13547.0,404861.0,39288.0,13575.0,561.0,606616.0,0.0,1247.15,193.5777222222224,121.135,1247.15,193.5777222222224,13.149999999999974
unverified,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.129890453834116,638.0,3.0,68.0,64.0,576.0,0.8944099378881988,575.0,3.0,722.0,0.0406015037593985,27.0,648.0,715515982584881152,12.344829192546587,606.6068788819875,6.526911764705884,1591.966323529412,13.031666666666668,490.27972222222223,-876923.0939457201,518.2672233820459,36528.3249516441,4930.164410058027,2684.2998065764027,83.56673114119924,59691.97678916827,478.0,0.0,1.0,0.0020876826722338203,270.0,75615.0,695400.0,947742.0,76210.0,8295.0,1320182.0,0.0038684719535783366,82670.3,655.5176396396397,129.94,82670.3,655.5176396396397,61.655
non-rumor,219.0,126.0,41.0,19.0,6.0,3.0,0.0,0.0,1.8376168224299063,862.0,7.0,33.0,32.0,830.0,0.9617612977983776,830.0,7.0,1573.0,0.20037105751391465,216.0,886.0,693315824132685824,452.3891193511009,807.0224565469293,34.09727272727273,887.0366666666667,469.02,803.8411686746988,-592412.3252496434,4.687589158345222,28007.839947089946,3267.7473544973545,484.20899470899474,26.265873015873016,31879.461640211637,623.0,0.0,78.0,0.11126961483594863,746173.0,20144.0,282674.0,1079264.0,20592.0,6511.0,473887.0,0.0013227513227513227,20209.85,810.9893197278917,118.21,20209.85,810.9893197278917,39.08000000000001
non-rumor,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042857142857143,349.0,3.0,102.0,100.0,250.0,0.7102272727272727,249.0,3.0,365.0,0.046448087431693985,17.0,355.0,693843042546106369,57.83821022727273,923.8834943181818,41.45078431372549,1241.804607843137,64.52428,794.17168,-12587747.652996846,945.5709779179809,25946.37974683544,47964.99050632912,1249.5348101265822,351.01265822784814,63253.49367088608,313.0,0.0,4.0,0.012618296529968454,6989.0,23437.0,520732.0,13259003.0,23667.0,63394.0,2193965.0,0.02531645569620253,33200.27,904.705,101.45,33200.27,904.705,167.71
false,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1030927835051547,193.0,2.0,17.0,17.0,176.0,0.911917098445596,176.0,2.0,214.0,0.05853658536585366,12.0,193.0,622891631293935616,32.44569948186529,586.419896373057,105.83588235294118,381.4958823529412,25.35687500000001,606.2136931818181,-143616.89570552149,-17999.116564417178,57431.664634146335,25075.042682926833,12610.920731707316,240.8841463414634,120155.59146341465,155.0,0.0,8.0,0.049079754601227,221809.0,158502.0,516712.0,388521.0,186919.0,2905.0,815400.0,0.006097560975609756,5977.57,604.3188372093019,186.18,5977.57,604.3188372093019,123.65
non-rumor,57.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1398601398601398,428.0,3.0,26.0,26.0,403.0,0.9393939393939394,402.0,3.0,489.0,0.042505592841163314,19.0,428.0,692630756548591616,9.886340326340328,261.24871794871797,0.07807692307692307,240.20692307692303,10.519131513647645,262.60625310173697,-36287219.53333333,974.5308641975308,23162.338271604942,187051.83950617287,1155.8987654320988,808.2469135802469,80251.92839506172,402.0,0.0,3.0,0.007407407407407408,1072.0,78395.0,741214.0,39538464.0,78398.0,134855.0,1330116.0,0.01728395061728395,39542.08,268.19252032520336,24.13,39542.08,268.19252032520336,33.76500000000002
non-rumor,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068627450980392,305.0,3.0,17.0,17.0,289.0,0.9444444444444444,289.0,3.0,327.0,0.061538461538461535,20.0,306.0,693265096278163456,4.922777777777778,100.41382352941177,20.454117647058823,137.54823529411763,4.009169550173011,98.229446366782,-13425495.376383765,725.5645756457566,22687.0989010989,53719.27472527473,1285.3113553113553,264.36263736263743,44083.81318681318,265.0,0.0,6.0,0.022140221402214017,734.0,27222.0,447381.0,14269196.0,27758.0,56266.0,769959.0,0.02197802197802198,2796.67,90.691298245614,16.05,2796.67,90.691298245614,8.350000000000023
true,39.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.4156626506024097,165.0,4.0,8.0,8.0,157.0,0.9515151515151516,157.0,4.0,235.0,0.15384615384615385,30.0,164.0,553589051044151296,18.546303030303033,32.87963636363636,0.0,13.13,19.491337579617838,33.8859872611465,-100054.44217687077,728.4149659863947,15815.486666666666,18807.086666666666,1387.0866666666666,206.48,58480.16666666666,135.0,0.0,12.0,0.08163265306122447,446125.0,10757.0,272806.0,564093.0,11098.0,5993.0,759327.0,0.08,2594.75,32.24649122807018,4.355,2594.75,32.24649122807018,1.91
true,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095435684647303,240.0,3.0,15.0,15.0,225.0,0.9375,225.0,3.0,264.0,0.07692307692307693,20.0,240.0,553590835850514433,0.871125,10.349625,6.448,14.27266666666667,0.4993333333333333,10.08808888888889,-4610592.376190476,1118.1285714285714,16784.654205607476,25691.901869158883,1482.3831775700935,176.10280373831776,46188.68224299065,206.0,0.0,4.0,0.01904761904761905,9955.0,29687.0,147287.0,4966802.0,29714.0,24443.0,732230.0,0.02803738317757009,403.63,10.718858447488586,2.7,403.63,10.718858447488586,4.655000000000001
false,62.0,18.0,6.0,2.0,0.0,0.0,0.0,0.0,1.2530864197530864,485.0,5.0,16.0,16.0,469.0,0.9670103092783504,469.0,5.0,609.0,0.12926391382405744,72.0,486.0,622858454949040128,36.43016494845361,799.7794226804125,0.133125,87.56,37.66844349680171,824.0768869936034,-80550.11724137931,-390.50344827586207,12460.731376975169,723.4153498871332,399.8577878103837,11.654627539503384,11130.674943566592,412.0,0.0,23.0,0.0528735632183908,1212.0,4420.0,184152.0,96332.0,5276.0,1496.0,101139.0,0.004514672686230248,50285.45,726.4940554156173,68.68,50285.45,726.4940554156173,31.215
