label,social_____avg_delta_follower,social_____avg_delta_friend,social_____avg_favourites,social_____avg_follower,social_____avg_friend,social_____avg_listed,social_____avg_statuses,social_____delta_followers_count_down,social_____delta_followers_count_else,social_____delta_followers_count_up,social_____delta_followers_count_up_percent,social_____max_delta_follower,social_____max_delta_friend,social_____max_favourites,social_____max_follower,social_____max_friend,social_____max_listed,social_____max_statuses,social_____verified_percent,tweet_id
false,-4619.630434782609,-497.0217391304348,38681.70824053452,1347.1269487750558,707.9175946547884,18.518930957683743,46938.60579064588,30.0,0.0,16.0,0.34782608695652173,3610.0,456.0,412186.0,91720.0,18673.0,566.0,422434.0,0.0,656955120626880512
true,-1821219.9223602484,1724.8664596273293,15645.1125,7840.284375,1891.40625,55.403125,37268.090625,319.0,0.0,3.0,0.009316770186335404,656.0,43987.0,407117.0,1899745.0,44079.0,3005.0,1913436.0,0.00625,615689290706595840
false,-11030153.03539823,-4266.132743362832,25993.33628318584,102462.07079646018,1314.1769911504425,792.3805309734513,52355.53982300885,111.0,0.0,2.0,0.017699115044247787,474.0,10619.0,248576.0,11436206.0,16326.0,84911.0,531720.0,0.008849557522123894,613404935003217920
unverified,-34006.933333333334,-14379.333333333334,46362.49107142857,6600.723214285715,5254.125,83.11607142857143,78555.98214285714,14.0,0.0,1.0,0.06666666666666667,248.0,323.0,376391.0,92337.0,60558.0,493.0,389797.0,0.0,731166399389962242
unverified,-184403.36904761905,-2.0952380952380953,43754.38888888889,3965.711111111111,1104.1777777777777,83.95555555555555,54299.3,80.0,0.0,4.0,0.047619047619047616,2917.0,6960.0,605741.0,215140.0,7884.0,2191.0,1257955.0,0.03333333333333333,714598641827246081
true,-23519.114877589454,447.4180790960452,35508.510676156584,2813.8843416370105,1083.1387900355871,40.288256227758005,65283.22953736655,483.0,0.0,48.0,0.0903954802259887,18176.0,13547.0,404861.0,39288.0,13575.0,561.0,606616.0,0.0,614467824313106432
unverified,-876923.0939457202,518.2672233820459,36528.3249516441,4930.164410058027,2684.2998065764023,83.56673114119923,59691.97678916828,478.0,0.0,1.0,0.0020876826722338203,270.0,75615.0,695400.0,947742.0,76210.0,8295.0,1320182.0,0.0038684719535783366,715515982584881152
non-rumor,-592412.3252496434,4.687589158345221,28007.839947089946,3267.7473544973545,484.20899470899474,26.265873015873016,31879.46164021164,623.0,0.0,78.0,0.11126961483594865,746173.0,20144.0,282674.0,1079264.0,20592.0,6511.0,473887.0,0.0013227513227513227,693315824132685824
non-rumor,-12587747.652996846,945.570977917981,25946.379746835442,47964.990506329115,1249.5348101265822,351.0126582278481,63253.49367088608,313.0,0.0,4.0,0.012618296529968454,6989.0,23437.0,520732.0,13259003.0,23667.0,63394.0,2193965.0,0.02531645569620253,693843042546106369
false,-143616.89570552149,-17999.116564417178,57431.66463414634,25075.04268292683,12610.920731707318,240.8841463414634,120155.59146341463,155.0,0.0,8.0,0.049079754601226995,221809.0,158502.0,516712.0,388521.0,186919.0,2905.0,815400.0,0.006097560975609756,622891631293935616
