label,structural_1_hop_neighbor_count,structural_2_hop_neighbor_count,structural_3_hop_neighbor_count,structural_4_hop_neighbor_count,structural_5_hop_neighbor_count,structural_6_hop_neighbor_count,structural_7_hop_neighbor_count,structural_8_hop_neighbor_count,structural_avg_depth,structural_dst_user_count,structural_max_depth,structural_reply_count,structural_reply_users_count,structural_retweet_count,structural_retweet_reply_percent,structural_retweet_users_count,structural_root_to_all_depth_max,structural_root_to_all_depth_sum,structural_src_dst_user_percent,structural_src_user_count,structural_trace_count,tweet_id
false,57.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1455938697318007,521.0,3.0,1.0,1.0,520.0,0.9980806142034548,520.0,3.0,598.0,0.09075043630017451,52.0,530.0,656955120626880512
true,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0252100840336134,356.0,2.0,55.0,49.0,307.0,0.8480662983425414,307.0,2.0,366.0,0.03523035230352303,13.0,364.0,615689290706595840
false,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0169491525423728,117.0,2.0,32.0,31.0,86.0,0.7288135593220338,86.0,2.0,120.0,0.040983606557377046,5.0,120.0,613404935003217920
unverified,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1870503597122302,138.0,3.0,6.0,5.0,134.0,0.9571428571428572,133.0,3.0,165.0,0.08609271523178808,13.0,146.0,731166399389962242
unverified,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105263157894737,94.0,3.0,7.0,6.0,88.0,0.9263157894736842,88.0,3.0,115.0,0.12149532710280374,13.0,94.0,714598641827246081
true,158.0,66.0,11.0,11.0,2.0,0.0,0.0,0.0,1.6174055829228242,624.0,6.0,6.0,6.0,621.0,0.9904306220095693,618.0,6.0,985.0,0.21311475409836064,169.0,659.0,614467824313106432
unverified,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.129890453834116,638.0,3.0,68.0,64.0,576.0,0.8944099378881988,575.0,3.0,722.0,0.0406015037593985,27.0,648.0,715515982584881152
non-rumor,219.0,126.0,41.0,19.0,6.0,3.0,0.0,0.0,1.8376168224299065,862.0,7.0,33.0,32.0,830.0,0.9617612977983777,830.0,7.0,1573.0,0.20037105751391465,216.0,886.0,693315824132685824
non-rumor,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042857142857143,349.0,3.0,102.0,100.0,250.0,0.7102272727272727,249.0,3.0,365.0,0.04644808743169399,17.0,355.0,693843042546106369
false,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1030927835051547,193.0,2.0,17.0,17.0,176.0,0.9119170984455959,176.0,2.0,214.0,0.05853658536585366,12.0,193.0,622891631293935616
